date,p1CharCode,p2CharCode,winner
08-25 17:33:56,11,11,1
08-25 17:33:40,11,11,1
08-25 17:33:05,11,11,1
08-25 17:31:54,11,11,1
08-25 17:30:28,14,4,1
08-25 17:29:47,4,14,2
08-25 17:29:30,4,14,2
08-25 17:27:36,4,14,2
08-25 17:31:06,14,15,2
08-25 17:27:44,14,15,2
08-25 17:22:59,14,15,2
08-25 17:10:19,14,15,2
08-25 20:45:59,7,10,1
08-25 20:44:24,7,10,1
08-25 20:43:05,10,1,1
08-25 20:40:07,10,1,1
08-25 20:37:37,7,10,1
08-25 20:33:53,7,10,1
08-25 20:31:53,10,5,2
08-25 20:16:50,10,5,2
08-25 20:15:37,8,4,2
08-25 19:30:06,4,1,1
08-25 18:19:55,4,1,1
08-25 18:17:53,4,1,1
08-25 18:16:22,11,2,1
08-25 17:54:15,11,2,1
08-25 17:52:20,11,12,2
08-25 17:48:40,11,12,2
08-25 17:43:55,14,15,1
08-25 17:37:12,12,5,2
08-25 17:35:30,11,2,2
08-25 17:35:28,6,0,1
08-25 17:35:27,4,4,1
08-25 17:35:26,4,2,1
08-25 17:35:26,9,4,2
08-25 17:35:22,3,0,2
08-25 17:35:22,2,7,2
08-25 17:35:22,11,4,1
08-25 17:35:19,10,5,2
08-25 17:35:18,10,0,1
08-25 17:35:17,2,1,2
08-25 17:35:17,0,0,2
08-25 17:35:15,11,5,2
08-25 17:35:15,7,0,2
08-25 17:35:12,10,11,1
08-25 17:35:11,12,5,2
08-25 17:35:11,10,12,2
08-25 17:35:07,3,12,2
08-25 17:34:58,15,11,1
08-25 17:34:54,15,3,2
08-25 17:34:53,11,8,1
08-25 17:34:52,5,1,2
08-25 17:34:52,8,10,1
08-25 17:34:52,1,8,2
08-25 17:34:51,13,15,2
08-25 17:34:51,2,12,2
08-25 17:34:49,15,9,2
08-25 17:34:48,1,7,1
08-25 17:34:47,4,11,1
08-25 17:34:47,3,1,1
08-25 17:34:45,7,0,2
08-25 17:34:44,14,1,2
08-25 17:34:44,4,5,1
08-25 17:34:44,12,14,2
08-25 17:34:44,4,2,2
08-25 17:34:41,14,15,1
08-25 17:34:41,5,13,1
08-25 17:34:40,14,0,2
08-25 17:34:38,13,0,1
08-25 17:34:37,4,0,2
08-25 17:34:36,11,2,1
08-25 17:34:36,11,15,1
08-25 17:34:35,2,8,1
08-25 17:34:32,2,15,2
08-25 17:34:32,0,9,1
08-25 17:34:23,0,0,1
08-25 17:34:19,4,10,2
08-25 17:34:18,1,12,2
08-25 17:34:16,12,7,1
08-25 17:34:10,9,9,2
08-25 17:34:10,11,6,1
08-25 17:34:10,8,7,2
08-25 17:34:09,12,2,1
08-25 17:34:08,6,0,1
08-25 17:34:07,7,10,1
08-25 17:34:06,1,7,2
08-25 17:34:05,11,13,1
08-25 17:34:03,4,4,2
08-25 17:34:03,0,8,1
08-25 17:34:03,11,4,2
08-25 17:34:02,5,6,1
08-25 17:34:02,6,11,2
08-25 17:33:58,9,11,2
08-25 17:33:56,12,9,2
08-25 17:33:55,3,0,2
08-25 17:33:55,5,12,2
08-25 17:33:55,12,11,2
08-25 17:33:52,3,11,1
08-25 17:33:52,11,1,2
08-25 17:33:52,1,2,1
08-25 17:33:52,9,10,2
08-25 17:33:51,2,5,2
08-25 17:33:49,8,5,1
08-25 17:33:49,3,0,1
08-25 17:33:48,11,1,2
08-25 17:33:46,12,11,2
08-25 17:33:45,10,5,2
08-25 17:33:45,3,3,1
08-25 17:33:43,14,5,1
08-25 17:33:41,11,5,1
08-25 17:33:41,9,4,1
08-25 17:33:35,9,13,1
08-25 17:33:34,10,11,1
08-25 17:33:31,11,9,1
